,,,ライブハウス2日目,会場,新大久保CLUB Voice,
時間,,持ち時間,バンド名,曲数,人数,key
11:00,,,集合,,,
11:30,11:50,20,sidenerdsオムニバス,3,4,
11:50,12:20,30,cinema staff,5,4,
12:20,12:50,30,クリープハイプ,3,5,
12:50,13:20,30,女王蜂,4,5,私物
13:20,13:50,30,I's,3,5,貸出(シンセ)
13:50,14:20,30,バックドロップシンデレラ,4,4,
14:20,14:50,30,BUMP OF CHICKEN,4,4,
14:50,15:20,30,休憩,,,
15:20,15:50,30,サイダーガール,4,4,
15:50,16:20,30,606号室,4,4,貸出(エレピ)
16:20,16:50,30,ヨルシカ(八木),4,6,私物
16:50,17:20,30,THE ORAL CIGARETTES,4,4,
17:20,17:50,30,ハンブレッダーズ(斉藤),4,4,
17:50,18:20,30,文藝天国,4,5,
